Sr.,"Company Name","Company Code","Customer Name","Customer Code",Date,"PO Reference","Btire Order No.","SAP Order No.",Status,"SKU No.",Brand,"Product Description",Qty,Price,"Total Value"
100,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-10-11 12:23:29",TEST-PO-2,BT00012561,,canceled,PSR0G466-2024,Bridgestone,"Bridgestone 195/55 R16 87H Turanza T005 2024",4.0000,364.65,1458.6000
101,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-10-11 12:23:27",TEST-PO-1,BT00012560,,canceled,PSR0G466-2024,Bridgestone,"Bridgestone 195/55 R16 87H Turanza T005 2024",4.0000,364.65,1458.6000
102,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-10-11 06:51:44",PO-TEST-123,BT00012558,,canceled,PSR0G466-2024,Bridgestone,"Bridgestone 195/55 R16 87H Turanza T005 2024",16.0000,364.65,5834.4000
103,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-10-11 06:51:44",PO-TEST-123,BT00012558,,canceled,PSR10060-2024,Bridgestone,"Bridgestone 245/40 R19 94W Potenza RE050AYZ 2024",1.0000,744.6,744.6000
104,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-05-13 13:30:48",89,BT00005300,,canceled,PSR0U465-2023,Bridgestone,"Bridgestone T 275/50 R22 AL02 111H TL",1.0000,995,995.0000
105,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-05-13 13:30:46",87,BT00005299,,canceled,PSR0U465-2023,Bridgestone,"Bridgestone T 275/50 R22 AL02 111H TL",1.0000,995,995.0000
106,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-05-13 13:22:26","test 3",BT00005297,,canceled,ORR00102-2023,Bridgestone,"Bridgestone 2400 R35 2023",1.0000,25470,25470.0000
107,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-05-13 13:22:25","test 2",BT00005296,,canceled,ORR00102-2023,Bridgestone,"Bridgestone 2400 R35 2023",1.0000,25470,25470.0000
108,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-05-13 13:10:14","Test PO",BT00005290,,orderconfirmed,TBR0J588-2023,Bridgestone,"Bridgestone 275/70 R225 2023",1.0000,1304,1304.0000
109,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-02-28 07:29:48",Test,BT00003676,0000020563,returned,PSR0G570-2023,Bridgestone,"Bridgestone T 235/45 R19 D-SPORT 099V TL XL",1.0000,760,760.0000
110,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-02-27 07:13:19",1624,BT00003645,,canceled,ORR06871-2023,Bridgestone,"Bridgestone 2400R35 2023",1.0000,28000,28000.0000
111,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2023-03-10 14:08:33",123456789,BT00000494,,canceled,PSR0G746-2022,Bridgestone,"Bridgestone 245/35 R19 PSPORT 093Y T/L",1.0000,756.5,756.5000
112,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2023-02-03 17:32:56",PO12345,BT00000377,,canceled,PSR16669-2022,Bridgestone,"Bridgestone 235/50 R20 AL01 100V RFT 2022",1.0000,1100,1100.0000
113,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2022-12-16 14:14:44","TEST By DEVENDRA",BT00000222,,canceled,PSR04757-2022,Bridgestone,"Bridgestone 205/55 R16 ER30 091V T/L 2022",1.0000,300,300.0000
114,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2022-12-16 14:14:44","TEST By DEVENDRA",BT00000222,,canceled,TBR08849-2024,Bridgestone,"Bridgestone 385/65 R22.5 160K R179Z 2024",1.0000,1900,1900.0000
